SampleNumber,SensorName,SoftwareVersion,ElectronicBoxSR,TimeStamp,Temperature,ResonantFrequency,DampingFrequency,VCOFrequency,RefPhaseShifting,Viscosity,Density,ExcitationCurrentPhaseShift I-,ExcitationCurrentPhaseShift I+,dfFrequencyQuotient,Frequency0Degree,Frequency-45Degree,Frequency+45Degree,Channel1c1,Channel2c2,CoilTemperature,ErrorCode
17,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:44:57,25.06,7198.37,0.96,15,90,0.065,0.999,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.056,0.358,200.000,0
18,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:44:59,25.06,7200.40,0.73,15,90,0.065,0.998,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.215,3.584,200.000,20
19,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:01,25.07,7201.07,1.22,15,90,0.070,0.998,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,1.051,2.740,200.000,2
20,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:03,25.07,7199.48,1.62,15,90,0.072,0.998,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.037,3.966,200.000,0
21,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:05,25.07,7199.27,1.43,15,90,0.079,0.998,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,1.076,1.732,200.000,20
22,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:07,25.08,7200.01,1.10,15,90,0.083,0.998,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.309,2.489,200.000,19
23,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:09,25.08,7200.24,1.35,15,90,0.092,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,1.033,3.675,200.000,20
24,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:11,25.08,7198.94,0.93,15,90,0.093,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.271,0.308,200.000,7
25,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:13,25.09,7201.82,1.21,15,90,0.097,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.488,0.868,200.000,19
26,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:15,25.10,7200.82,1.50,15,90,0.107,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.520,2.584,200.000,1
27,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:17,25.10,7199.48,0.96,15,90,0.116,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,1.131,3.381,200.000,7
28,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:19,25.10,7200.84,1.51,15,90,0.118,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.938,1.990,200.000,19
29,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:21,25.11,7198.06,0.93,15,90,0.125,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,1.206,2.038,200.000,15
30,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:23,25.11,7200.32,1.53,15,90,0.130,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.678,4.110,200.000,18
31,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:25,25.11,7198.55,0.99,15,90,0.132,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.056,3.874,200.000,0
32,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:27,25.12,7198.83,0.89,15,90,0.133,0.997,2,2,0.9824078,8701.3590000,8701.8100000,8700.8950000,0.621,2.817,200.000,11
34,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.13,7201.95,0.75,0,0,0.143,0.997,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
35,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.13,7199.51,0.96,0,0,0.144,0.997,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
36,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.13,7200.02,1.04,0,0,0.147,0.997,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
37,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.14,7199.00,1.12,0,0,0.147,0.998,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
38,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.14,7200.63,1.49,0,0,0.149,0.997,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
39,D03-032,SWV9.02,ESNE03-1120,18-04-2025 19:45:28,25.15,7200.73,0.89,0,0,0.156,0.998,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0
